Source.Name	Comment.ENA_SAMPLE.	Characteristics.Organism.	Term.Source.REF	Term.Accession.Number	Characteristics.Strain.	Characteristics.population.	Comment.1000g.Phase1.Genotypes.	Protocol.REF	Protocol.REF.1	Extract.Name	Comment.LIBRARY_SELECTION.	Comment.LIBRARY_SOURCE.	Comment.SEQUENCE_LENGTH.	Comment.LIBRARY_STRATEGY.	Comment.LIBRARY_LAYOUT.	Comment.NOMINAL_LENGTH.	Comment.NOMINAL_SDEV.	Protocol.REF.2	Performer	Assay.Name	Technology.Type	Comment.ENA_EXPERIMENT.	Comment.READ_INDEX_1_BASE_COORD.	Protocol.REF.3	Scan.Name	Comment.SUBMITTED_FILE_NAME.	Comment.ENA_RUN.	Comment.FASTQ_URI.	Protocol.REF.4	Derived.Array.Data.File	Comment..Derived.ArrayExpress.FTP.file.	Factor.Value.population.	Factor.Value.laboratory.	date
741	NA20503	ERS185497	Homo sapiens	NCBI Taxonomy	9606	lymphoblastoid cell line	TSI	1	P-GEUV-1	P-GEUV-2	NA20503.1.M_111124_5 extract	cDNA	TRANSCRIPTOMIC	75	RNA-Seq	PAIRED	280	0	P-GEUV-5	UNIGE	NA20503.1.M_111124_5	high_throughput_sequencing	ERX163094	76	P-GEUV-6	NA20503.1.M_111124_5_1.fastq.gz	NA20503.1.M_111124_5_1.fastq.gz	ERR188297	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188297/ERR188297_1.fastq.gz	P-GEUV-7	NA20503.1.M_111124_5.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEUV/E-GEUV-1/NA20503.1.M_111124_5.bam	TSI	1	111124
743	NA20504	ERS185242	Homo sapiens	NCBI Taxonomy	9606	lymphoblastoid cell line	TSI	1	P-GEUV-1	P-GEUV-2	NA20504.1.M_111124_7 extract	cDNA	TRANSCRIPTOMIC	75	RNA-Seq	PAIRED	280	0	P-GEUV-5	UNIGE	NA20504.1.M_111124_7	high_throughput_sequencing	ERX162972	76	P-GEUV-6	NA20504.1.M_111124_7_1.fastq.gz	NA20504.1.M_111124_7_1.fastq.gz	ERR188088	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188088/ERR188088_1.fastq.gz	P-GEUV-7	NA20504.1.M_111124_7.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEUV/E-GEUV-1/NA20504.1.M_111124_7.bam	TSI	1	111124
745	NA20505	ERS185048	Homo sapiens	NCBI Taxonomy	9606	lymphoblastoid cell line	TSI	1	P-GEUV-1	P-GEUV-2	NA20505.1.M_111124_6 extract	cDNA	TRANSCRIPTOMIC	75	RNA-Seq	PAIRED	280	0	P-GEUV-5	UNIGE	NA20505.1.M_111124_6	high_throughput_sequencing	ERX163009	76	P-GEUV-6	NA20505.1.M_111124_6_1.fastq.gz	NA20505.1.M_111124_6_1.fastq.gz	ERR188329	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188329/ERR188329_1.fastq.gz	P-GEUV-7	NA20505.1.M_111124_6.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEUV/E-GEUV-1/NA20505.1.M_111124_6.bam	TSI	1	111124
749	NA20507	ERS185412	Homo sapiens	NCBI Taxonomy	9606	lymphoblastoid cell line	TSI	1	P-GEUV-1	P-GEUV-2	NA20507.1.M_111124_7 extract	cDNA	TRANSCRIPTOMIC	75	RNA-Seq	PAIRED	280	0	P-GEUV-5	UNIGE	NA20507.1.M_111124_7	high_throughput_sequencing	ERX163158	76	P-GEUV-6	NA20507.1.M_111124_7_1.fastq.gz	NA20507.1.M_111124_7_1.fastq.gz	ERR188288	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188288/ERR188288_1.fastq.gz	P-GEUV-7	NA20507.1.M_111124_7.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEUV/E-GEUV-1/NA20507.1.M_111124_7.bam	TSI	1	111124
751	NA20508	ERS185362	Homo sapiens	NCBI Taxonomy	9606	lymphoblastoid cell line	TSI	1	P-GEUV-1	P-GEUV-2	NA20508.1.M_111124_2 extract	cDNA	TRANSCRIPTOMIC	75	RNA-Seq	PAIRED	280	0	P-GEUV-5	UNIGE	NA20508.1.M_111124_2	high_throughput_sequencing	ERX163159	76	P-GEUV-6	NA20508.1.M_111124_2_1.fastq.gz	NA20508.1.M_111124_2_1.fastq.gz	ERR188021	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188021/ERR188021_1.fastq.gz	P-GEUV-7	NA20508.1.M_111124_2.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEUV/E-GEUV-1/NA20508.1.M_111124_2.bam	TSI	1	111124
761	NA20514	ERS185217	Homo sapiens	NCBI Taxonomy	9606	lymphoblastoid cell line	TSI	0	P-GEUV-1	P-GEUV-2	NA20514.1.M_111124_4 extract	cDNA	TRANSCRIPTOMIC	75	RNA-Seq	PAIRED	280	0	P-GEUV-5	UNIGE	NA20514.1.M_111124_4	high_throughput_sequencing	ERX163062	76	P-GEUV-6	NA20514.1.M_111124_4_1.fastq.gz	NA20514.1.M_111124_4_1.fastq.gz	ERR188356	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188356/ERR188356_1.fastq.gz	P-GEUV-7	NA20514.1.M_111124_4.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEUV/E-GEUV-1/NA20514.1.M_111124_4.bam	TSI	1	111124
771	NA20519	ERS185167	Homo sapiens	NCBI Taxonomy	9606	lymphoblastoid cell line	TSI	1	P-GEUV-1	P-GEUV-2	NA20519.1.M_111124_5 extract	cDNA	TRANSCRIPTOMIC	75	RNA-Seq	PAIRED	280	0	P-GEUV-5	UNIGE	NA20519.1.M_111124_5	high_throughput_sequencing	ERX162948	76	P-GEUV-6	NA20519.1.M_111124_5_1.fastq.gz	NA20519.1.M_111124_5_1.fastq.gz	ERR188145	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188145/ERR188145_1.fastq.gz	P-GEUV-7	NA20519.1.M_111124_5.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEUV/E-GEUV-1/NA20519.1.M_111124_5.bam	TSI	1	111124
779	NA20525	ERS185212	Homo sapiens	NCBI Taxonomy	9606	lymphoblastoid cell line	TSI	1	P-GEUV-1	P-GEUV-2	NA20525.1.M_111124_1 extract	cDNA	TRANSCRIPTOMIC	75	RNA-Seq	PAIRED	280	0	P-GEUV-5	UNIGE	NA20525.1.M_111124_1	high_throughput_sequencing	ERX163022	76	P-GEUV-6	NA20525.1.M_111124_1_1.fastq.gz	NA20525.1.M_111124_1_1.fastq.gz	ERR188347	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188347/ERR188347_1.fastq.gz	P-GEUV-7	NA20525.1.M_111124_1.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEUV/E-GEUV-1/NA20525.1.M_111124_1.bam	TSI	1	111124
797	NA20536	ERS185156	Homo sapiens	NCBI Taxonomy	9606	lymphoblastoid cell line	TSI	1	P-GEUV-1	P-GEUV-2	NA20536.1.M_111124_1 extract	cDNA	TRANSCRIPTOMIC	75	RNA-Seq	PAIRED	280	0	P-GEUV-5	UNIGE	NA20536.1.M_111124_1	high_throughput_sequencing	ERX163042	76	P-GEUV-6	NA20536.1.M_111124_1_1.fastq.gz	NA20536.1.M_111124_1_1.fastq.gz	ERR188382	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188382/ERR188382_1.fastq.gz	P-GEUV-7	NA20536.1.M_111124_1.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEUV/E-GEUV-1/NA20536.1.M_111124_1.bam	TSI	1	111124
805	NA20540	ERS185349	Homo sapiens	NCBI Taxonomy	9606	lymphoblastoid cell line	TSI	1	P-GEUV-1	P-GEUV-2	NA20540.1.M_111124_2 extract	cDNA	TRANSCRIPTOMIC	75	RNA-Seq	PAIRED	280	0	P-GEUV-5	UNIGE	NA20540.1.M_111124_2	high_throughput_sequencing	ERX162940	76	P-GEUV-6	NA20540.1.M_111124_2_1.fastq.gz	NA20540.1.M_111124_2_1.fastq.gz	ERR188436	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188436/ERR188436_1.fastq.gz	P-GEUV-7	NA20540.1.M_111124_2.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEUV/E-GEUV-1/NA20540.1.M_111124_2.bam	TSI	1	111124
